date,type,sign,fibonacci_anchor,anchor_type
2004-03-20,vernal_equinox,Aries,True,low
2004-06-21,summer_solstice,Cancer,True,high
2004-09-22,autumn_equinox,Libra,True,low
2004-12-21,winter_solstice,Capricorn,True,high
2005-03-20,vernal_equinox,Aries,True,low
2005-06-21,summer_solstice,Cancer,True,high
2005-09-22,autumn_equinox,Libra,True,low
2005-12-21,winter_solstice,Capricorn,True,high
2006-03-20,vernal_equinox,Aries,True,low
2006-06-21,summer_solstice,Cancer,True,high
2006-09-23,autumn_equinox,Libra,True,low
2006-12-22,winter_solstice,Capricorn,True,high
2007-03-21,vernal_equinox,Aries,True,low
2007-06-21,summer_solstice,Cancer,True,high
2007-09-23,autumn_equinox,Libra,True,low
2007-12-22,winter_solstice,Capricorn,True,high
2008-03-20,vernal_equinox,Aries,True,low
2008-06-20,summer_solstice,Cancer,True,high
2008-09-22,autumn_equinox,Libra,True,low
2008-12-21,winter_solstice,Capricorn,True,high
2009-03-20,vernal_equinox,Aries,True,low
2009-06-21,summer_solstice,Cancer,True,high
2009-09-22,autumn_equinox,Libra,True,low
2009-12-21,winter_solstice,Capricorn,True,high
2010-03-20,vernal_equinox,Aries,True,low
2010-06-21,summer_solstice,Cancer,True,high
2010-09-23,autumn_equinox,Libra,True,low
2010-12-21,winter_solstice,Capricorn,True,high
2011-03-20,vernal_equinox,Aries,True,low
2011-06-21,summer_solstice,Cancer,True,high
2011-09-23,autumn_equinox,Libra,True,low
2011-12-22,winter_solstice,Capricorn,True,high
2012-03-20,vernal_equinox,Aries,True,low
2012-06-20,summer_solstice,Cancer,True,high
2012-09-22,autumn_equinox,Libra,True,low
2012-12-21,winter_solstice,Capricorn,True,high
2013-03-20,vernal_equinox,Aries,True,low
2013-06-21,summer_solstice,Cancer,True,high
2013-09-22,autumn_equinox,Libra,True,low
2013-12-21,winter_solstice,Capricorn,True,high
2014-03-20,vernal_equinox,Aries,True,low
2014-06-21,summer_solstice,Cancer,True,high
2014-09-23,autumn_equinox,Libra,True,low
2014-12-21,winter_solstice,Capricorn,True,high
2015-03-20,vernal_equinox,Aries,True,low
2015-06-21,summer_solstice,Cancer,True,high
2015-09-23,autumn_equinox,Libra,True,low
2015-12-22,winter_solstice,Capricorn,True,high
2016-03-20,vernal_equinox,Aries,True,low
2016-06-20,summer_solstice,Cancer,True,high
2016-09-22,autumn_equinox,Libra,True,low
2016-12-21,winter_solstice,Capricorn,True,high
2017-03-20,vernal_equinox,Aries,True,low
2017-06-21,summer_solstice,Cancer,True,high
2017-09-22,autumn_equinox,Libra,True,low
2017-12-21,winter_solstice,Capricorn,True,high
2018-03-20,vernal_equinox,Aries,True,low
2018-06-21,summer_solstice,Cancer,True,high
2018-09-23,autumn_equinox,Libra,True,low
2018-12-21,winter_solstice,Capricorn,True,high
2019-03-20,vernal_equinox,Aries,True,low
2019-06-21,summer_solstice,Cancer,True,high
2019-09-23,autumn_equinox,Libra,True,low
2019-12-22,winter_solstice,Capricorn,True,high
2020-03-20,vernal_equinox,Aries,True,low
2020-06-20,summer_solstice,Cancer,True,high
2020-09-22,autumn_equinox,Libra,True,low
2020-12-21,winter_solstice,Capricorn,True,high
2021-03-20,vernal_equinox,Aries,True,low
2021-06-21,summer_solstice,Cancer,True,high
2021-09-22,autumn_equinox,Libra,True,low
2021-12-21,winter_solstice,Capricorn,True,high
2022-03-20,vernal_equinox,Aries,True,low
2022-06-21,summer_solstice,Cancer,True,high
2022-09-23,autumn_equinox,Libra,True,low
2022-12-21,winter_solstice,Capricorn,True,high
2023-03-20,vernal_equinox,Aries,True,low
2023-06-21,summer_solstice,Cancer,True,high
2023-09-23,autumn_equinox,Libra,True,low
2023-12-22,winter_solstice,Capricorn,True,high
2024-03-20,vernal_equinox,Aries,True,low
2024-06-20,summer_solstice,Cancer,True,high
2024-09-22,autumn_equinox,Libra,True,low
2024-12-21,winter_solstice,Capricorn,True,high
2025-03-20,vernal_equinox,Aries,True,low
2025-06-21,summer_solstice,Cancer,True,high
2025-09-22,autumn_equinox,Libra,True,low
2025-12-21,winter_solstice,Capricorn,True,high
