Pair,Date,Rate,Change %
EURUSD,2025-09-22,1.1802,0
EURUSD,2025-06-20,1.1522,0
EURUSD,2025-03-20,1.08539,0
EURUSD,2022-12-21,1.06039,0
EURUSD,2022-09-22,0.98332,0
EURUSD,2022-06-21,1.05337,0
EURUSD,2018-12-21,1.1367,0
EURUSD,2018-06-21,1.16095,0
EURUSD,2018-03-20,1.22453,0
EURUSD,2015-12-21,1.0908,0
EURUSD,2015-09-23,1.1186,0
EURUSD,2015-03-20,1.08115,0
USDJPY,2025-09-22,147.71,0
USDJPY,2025-06-20,146.07,0
USDJPY,2025-03-20,148.759,0
USDJPY,2022-12-21,132.46,0
USDJPY,2022-09-22,142.303,0
USDJPY,2022-06-21,136.654,0
USDJPY,2018-12-21,111.21,0
USDJPY,2018-06-21,109.899,0
USDJPY,2018-03-20,106.538,0
USDJPY,2015-12-21,121.226,0
USDJPY,2015-09-23,120.221,0
USDJPY,2015-03-20,120.02,0
GBPJPY,2025-09-22,199.58575,0
GBPJPY,2025-06-20,196.44954,0
GBPJPY,2025-03-20,192.91662,0
GBPNZD,2025-09-22,2.30423,0
GBPNZD,2025-06-20,2.25654,0
GBPNZD,2025-03-20,2.25412,0
EURNZD,2025-09-22,2.0106,0
EURNZD,2025-06-20,1.9316,0
EURNZD,2025-03-20,1.88517,0
EURNZD,2022-12-21,1.68382,0
EURNZD,2022-09-22,1.6824,0
EURNZD,2022-06-21,1.66306,0
EURNZD,2018-12-21,1.69399,0
EURNZD,2018-06-21,1.68917,0
EURNZD,2018-03-20,1.7058,0
EURNZD,2015-12-21,1.61167,0
EURNZD,2015-09-23,1.7838,0
EURNZD,2015-03-20,1.4283,0
GBPAUD,2025-09-22,2.04789,0
GBPAUD,2025-06-20,2.08512,0
GBPAUD,2025-03-20,2.05919,0
GBPCAD,2025-09-22,1.86709,0
GBPCAD,2025-06-20,1.84695,0
GBPCAD,2025-03-20,1.85739,0
NZDCAD,2025-09-22,0.81029,0
NZDCAD,2025-06-20,0.81849,0
NZDCAD,2025-03-20,0.824,0
NZDCHF,2025-09-22,0.46455,0
NZDCHF,2025-06-20,0.48717,0
NZDCHF,2025-03-20,0.50697,0
